"from","to","value"
"C3D1_max_of_TMPMPkl","C3D1_mean_of_TMPMP",0.818083061957239
"C3D1_mean_of_TMPMPkl","C3D1_mean_of_TMPMP",0.890216002254368
"C3D1_mean_of_AF","C4D1_mean_of_TMPMP",0.882762147828507
"C4D1_mean_of_AF","C4D1_mean_of_TMPMP",0.870969983917707
"C8D1_cfDNA_conc","C8D1_mean_of_TMPMP",0.88488362217011
"C8D1_max_of_TMPMPkl","C8D1_mean_of_TMPMP",0.991599087757024
"C8D1_max_of_TMPMP","C8D1_mean_of_TMPMP",0.993007883310824
"C8D1_mean_of_TMPMPkl","C8D1_mean_of_TMPMP",0.998464660078556
"BL_max_of_AFkl","BL_median_of_AFkl",0.843643766091796
"BL_mean_of_AFkl","BL_median_of_AFkl",0.972829724770147
"BL_mean_of_AF","BL_median_of_AFkl",0.910750113442899
"C2D1_mean_of_AFkl","C2D1_median_of_AFkl",0.908707808403373
"C2D1_mean_of_TMPMP","C2D1_median_of_AFkl",0.828961891024208
"C3D1_mean_of_AFkl","C3D1_median_of_AFkl",0.878686332747029
"C3D1_mean_of_TMPMPkl","C3D1_median_of_AFkl",0.83855537696714
"C3D1_median_of_AFkl","C4D1_median_of_AFkl",0.882138795717918
"C8D1_mean_of_AFkl","C8D1_median_of_AFkl",0.947393111214939
"C8D1_mean_of_AF","C8D1_median_of_AFkl",0.821637860541748
"BL_mean_of_AFkl","BL_median_of_AF",0.907471493723217
"BL_mean_of_AF","BL_median_of_AF",0.959141053619369
"BL_median_of_AFkl","BL_median_of_AF",0.919769330494273
"C2D1_median_of_AF","C3D1_median_of_AF",0.801438353872149
"C2D1_median_of_AF","C4D1_median_of_AF",0.838730502476597
"C3D1_median_of_AF","C4D1_median_of_AF",0.936027199040606
"C8D1_mean_of_AFkl","C8D1_median_of_AF",0.805587362454762
"C8D1_mean_of_AF","C8D1_median_of_AF",0.87458025517308
"C8D1_median_of_AFkl","C8D1_median_of_AF",0.886062510997074
"BL_max_of_TMPMPkl","BL_median_of_TMPMPkl",0.988895916671982
"BL_max_of_TMPMP","BL_median_of_TMPMPkl",0.966357567358104
"BL_mean_of_TMPMPkl","BL_median_of_TMPMPkl",0.996337851045498
"BL_mean_of_TMPMP","BL_median_of_TMPMPkl",0.980056130721499
"C2D1_max_of_TMPMPkl","C2D1_median_of_TMPMPkl",0.9221251763771
"C2D1_max_of_TMPMP","C2D1_median_of_TMPMPkl",0.813202168864907
"C2D1_mean_of_TMPMPkl","C2D1_median_of_TMPMPkl",0.983259983167226
"C2D1_mean_of_TMPMP","C2D1_median_of_TMPMPkl",0.917443774646958
"C3D1_mean_of_AFkl","C3D1_median_of_TMPMPkl",0.806610175597593
"C3D1_mean_of_TMPMPkl","C3D1_median_of_TMPMPkl",0.941528981282375
"C3D1_mean_of_TMPMP","C3D1_median_of_TMPMPkl",0.828327465196057
"C3D1_median_of_AFkl","C3D1_median_of_TMPMPkl",0.900098661846064
"C3D1_mean_of_TMPMPkl","C4D1_median_of_TMPMPkl",0.808271684181966
"C4D1_mean_of_TMPMPkl","C4D1_median_of_TMPMPkl",0.898002487063739
"C3D1_median_of_AFkl","C4D1_median_of_TMPMPkl",0.824308814703464
"C4D1_median_of_AFkl","C4D1_median_of_TMPMPkl",0.879369762225402
"C3D1_median_of_TMPMPkl","C4D1_median_of_TMPMPkl",0.838627120748244
"C8D1_cfDNA_conc","C8D1_median_of_TMPMPkl",0.869747833535189
"C8D1_max_of_TMPMPkl","C8D1_median_of_TMPMPkl",0.954835487195498
"C8D1_max_of_TMPMP","C8D1_median_of_TMPMPkl",0.957799924721368
"C8D1_mean_of_TMPMPkl","C8D1_median_of_TMPMPkl",0.975213456408414
"C8D1_mean_of_TMPMP","C8D1_median_of_TMPMPkl",0.982532255557589
"BL_cfDNA_conc","BL_median_of_TMPMP",0.806596820619365
"BL_max_of_TMPMPkl","BL_median_of_TMPMP",0.987069500645996
"BL_max_of_TMPMP","BL_median_of_TMPMP",0.987522874877405
"BL_mean_of_TMPMPkl","BL_median_of_TMPMP",0.989349344855887
"BL_mean_of_TMPMP","BL_median_of_TMPMP",0.997146628774223
"BL_median_of_TMPMPkl","BL_median_of_TMPMP",0.989504293505961
"C2D1_max_of_TMPMPkl","C2D1_median_of_TMPMP",0.919393724607777
"C2D1_max_of_TMPMP","C2D1_median_of_TMPMP",0.816462468368373
"C2D1_mean_of_TMPMPkl","C2D1_median_of_TMPMP",0.954540944499298
"C2D1_mean_of_TMPMP","C2D1_median_of_TMPMP",0.965531441461892
"C2D1_median_of_AFkl","C2D1_median_of_TMPMP",0.867503712516054
"C2D1_median_of_TMPMPkl","C2D1_median_of_TMPMP",0.927358833275064
"C3D1_mean_of_TMPMPkl","C3D1_median_of_TMPMP",0.880526450696182
"C3D1_mean_of_TMPMP","C3D1_median_of_TMPMP",0.904732696851431
"C3D1_median_of_TMPMPkl","C3D1_median_of_TMPMP",0.913023381775649
"C3D1_median_of_AF","C4D1_median_of_TMPMP",0.849378068935029
"BL_n_kl","C2D1_n_kl",0.833338674776134
"C2D1_n_kl","C3D1_n_kl",0.809486202804151
"C3D1_n_kl","C4D1_n_kl",0.833308396208485
"BL_n","C2D1_n",0.911307107305952
"BL_n","C3D1_n",0.804556733155439
"C2D1_n","C3D1_n",0.917895041560722
"C3D1_n","C4D1_n",0.848698858927665
"C2D1_n","C8D1_n",0.86442276503259
"C3D1_n","C8D1_n",0.911465050144068
